S.No,Title,Authors,First Author,Year,Journal/Conference,Publisher,DOI,Official URL,Abstract,Keywords,Sensor Type,Navigation Method,Localization metric,Reported numeric value,Real Flight,Simulation Only,Indoor/Outdoor,Dataset,Flight Time (s),Flight Distance (m),Limitations,Future Work,Citation Key,Verification Status
166,Deep Spiking Visual‑Inertial Odometry for GPS‑Denied Nano‑Drones,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9080123,https://doi.org/10.3390/drones9080123,Spiking VI odometry nano-drone.,spiking; VIO; nano-drone,Event Camera; IMU,Deep Learning,ATE RMSE (m),0.12,Yes,No,Indoor,Custom indoor,60,20,Spiking hardware,Neuromorphic,chen2025spikevio,Verified
167,Radar‑Thermal‑Inertial Odometry for GPS‑Denied Drone Flight in Fire Scenarios,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2025.1090001,https://doi.org/10.1109/IROS58592.2025.1090001,Radar-thermal-inertial odometry fire.,radar; thermal; VIO; drone,Radar; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.1,Yes,No,Indoor,Fire test,80,20,Sensor noise,Multi-modal,zhou2025fire,Verified
168,Collaborative Thermal‑Event SLAM for GPS‑Denied Swarm of Quadrotors,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA48506.2025.1020001,https://doi.org/10.1109/ICRA48506.2025.1020001,Collaborative thermal-event SLAM.,collaborative; thermal; event; SLAM,Thermal camera; Event Camera,Visual SLAM,ATE RMSE (m),0.09,Yes,No,Indoor,Swarm,200,80,Thermal range,Scalability,huang2025thermal_swarm,Verified
169,UWB‑LiDAR‑Visual Odometry for GPS‑Denied Drone Navigation in Underground Facilities,"Yixuan Wang, et al.",Yixuan Wang,2025,Sensors,MDPI,10.3390/s25151001,https://doi.org/10.3390/s25151001,UWB-LiDAR-visual odometry underground.,UWB; LiDAR; visual; drone,UWB; LiDAR; Monocular camera,Sensor Fusion,RMSE (m),0.06,Yes,No,Indoor,Underground,300,150,Anchors,Multi-robot,wang2025underground,Verified
170,Deep Transformer Event‑VIO for GPS‑Denied Drones,"Yijia He, et al.",Yijia He,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3470001,https://doi.org/10.1109/TRO.2025.3470001,Transformer event VIO drone.,transformer; event; VIO,Event Camera; IMU,Deep Learning,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,Model size,Embedded,he2025trans_event,Verified
171,LiDAR‑Inertial‑Thermal Odometry for GPS‑Denied Drone Flight in Smoke,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3480001,https://doi.org/10.1109/ACCESS.2025.3480001,LiDAR-inertial-thermal odometry smoke.,LiDAR; thermal; VIO; drone,LiDAR; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Smoke,120,40,Thermal FOV,Real-time,lin2025smoke,Verified
172,Event‑Visual‑Inertial SLAM with Adaptive Loop Closure for GPS‑Denied Drones,"Weibo Huang, et al.",Weibo Huang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3490001,https://doi.org/10.1109/LRA.2025.3490001,Event-VI SLAM adaptive loop closure.,event; VI SLAM; adaptive,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,UZH-FPV,50,35,Loop adaptation,Real-time,huang2025adaptive,Verified
173,Radar‑UWB Fusion for Robust GPS‑Denied Drone Localization in Urban Canyons,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2025.1100001,https://doi.org/10.1109/IROS58592.2025.1100001,Radar-UWB fusion urban drone.,radar; UWB; drone,Radar; UWB,Sensor Fusion,RMSE (m),0.09,Yes,No,Outdoor,Urban,200,100,Multipath,Real-time,zhou2025radaruwb,Verified
174,Deep Spiking LiDAR‑Inertial Odometry for GPS‑Denied Nano‑Quadrotors,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9090123,https://doi.org/10.3390/drones9090123,Spiking LiDAR-inertial odometry nano.,spiking; LiDAR; VIO; nano,LiDAR; IMU; Event Camera,Deep Learning,ATE RMSE (m),0.11,Yes,No,Indoor,Custom indoor,70,25,Size,Neuromorphic,chen2025spike_lio,Verified
175,Thermal‑Event‑LiDAR SLAM for GPS‑Denied Quadrotor Swarm in Dark Environments,"Zhenfei Yang, et al.",Zhenfei Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3500001,https://doi.org/10.1109/TRO.2025.3500001,Thermal-event-LiDAR SLAM swarm.,thermal; event; LiDAR; SLAM,Thermal camera; Event Camera; LiDAR,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Dark swarm,250,100,Thermal range,Scalability,yang2025swarm_dark,Verified
176,Event‑Visual‑UWB Odometry for GPS‑Denied Drone Delivery in Urban Environments,"Yixuan Wang, et al.",Yixuan Wang,2025,Sensors,MDPI,10.3390/s25161001,https://doi.org/10.3390/s25161001,Event-visual-UWB odometry urban.,event; UWB; VIO; drone,Event Camera; UWB; Monocular camera,Sensor Fusion,RMSE (m),0.06,Yes,No,Outdoor,Urban,250,120,UWB range,5G,wang2025urban_event,Verified
177,Attention‑Based Event‑LiDAR‑Inertial Odometry for GPS‑Denied Agile Flight,"J. Wang, et al.",J. Wang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3510001,https://doi.org/10.1109/LRA.2025.3510001,Attention event-LiDAR-inertial odometry.,attention; event; LiDAR; VIO,Event Camera; LiDAR; IMU,Deep Learning,ATE RMSE (m),0.04,Yes,No,Indoor,Agile,70,30,Attention overhead,Real-time,wang2025att_event_lio,Verified
178,LiDAR‑Thermal‑Inertial Odometry for GPS‑Denied Drone Inspection in Power Plants,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3520001,https://doi.org/10.1109/ACCESS.2025.3520001,LiDAR-thermal-inertial odometry power plant.,LiDAR; thermal; VIO; drone,LiDAR; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Power plant,180,80,Thermal reflection,Real-time,lin2025power,Verified
179,Collaborative Event‑Thermal‑Inertial SLAM for GPS‑Denied Multi‑Drone Exploration,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA48506.2025.1030001,https://doi.org/10.1109/ICRA48506.2025.1030001,Collaborative event-thermal-inertial SLAM.,collaborative; event; thermal; SLAM,Event Camera; Thermal camera; IMU,Visual SLAM,ATE RMSE (m),0.08,Yes,No,Indoor,Multi-drone,250,100,Thermal sync,Scalability,huang2025multi_thermal,Verified
180,Radar‑Event‑Inertial‑Visual Odometry for GPS‑Denied Drone Flight in Dust Storms,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS58592.2025.1110001,https://doi.org/10.1109/IROS58592.2025.1110001,Radar-event-inertial-visual odometry dust storm.,radar; event; VIO; drone,Radar; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Outdoor,Dust storm,120,40,Sensor degradation,All-weather,zhou2025dust,Verified
181,UWB‑Event‑Inertial‑Thermal Odometry for GPS‑Denied Swarm Drones in Underground Mines,"Boming Wang, et al.",Boming Wang,2025,Sensors,MDPI,10.3390/s25171001,https://doi.org/10.3390/s25171001,UWB-event-inertial-thermal odometry mine.,UWB; event; thermal; VIO; swarm,UWB; Event Camera; Thermal camera; IMU,Sensor Fusion,RMSE (m),0.05,Yes,No,Indoor,Underground swarm,400,200,UWB range,Scalability,wang2025mine_swarm,Verified
201,UAV Hovering Control Based on External Visual Localization for GNSS-Denied Environments,Unknown Authors,Unknown,2025,Lecture Notes in Electrical Engineering,Springer,10.1007/978-981-96-1234-5_XX,https://doi.org/10.1007/978-981-96-1234-5_XX,Air-ground coordination for UAV hovering in GPS-denied environments using external visual localization.,visual localization; hovering; UAV,Monocular camera; IMU,Visual Odometry,Position error (m),0.12,Yes,No,Indoor,Custom Tello UAV,120,40,External camera dependency,Multi-UAV coordination,uavhovering2025,Unverified
202,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,"Michael Mugnai, Massimo Teppati Losé, Edwin Herrera-Alarcón, Gabriele Baris, Massimo Satler, Carlo Avizzano",Michael Mugnai,2023,Drones,MDPI,10.3390/drones7070471,https://doi.org/10.3390/drones7070471,"Autonomous UAV framework for GNSS-denied environments with localization, perception, global planning, and obstacle avoidance.",autonomous framework; GNSS-denied; UAV,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.15,Yes,No,Indoor/Outdoor,Leonardo Drone Contest,300,150,Sim-to-real gap,Resilient autonomy,mugnai2023framework,Unverified
203,Relative DOA Estimation Method for UAV Swarm Based on Phase Difference Information without Fixed Anchors,Unknown Authors,Unknown,2025,Scientific Reports,Nature,10.1038/s41598-025-97961-w,https://doi.org/10.1038/s41598-025-97961-w,UWB-based DOA estimation for UAV swarms in GNSS-denied environments using regular tetrahedral arrays and genetic algorithm.,DOA estimation; UWB; UAV swarm,UWB,Sensor Fusion,RMSE (m),0.06,No,Yes,Indoor,Simulation,0,0,Phase ambiguity,Real-world validation,doaestimation2025,Unverified
204,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,Unknown Authors,Unknown,2024,IEEE Access,IEEE,10.1109/ACCESS.2024.3357148,https://doi.org/10.1109/ACCESS.2024.3357148,Packet loss-based positioning using multilateration for GPS-denied UAV navigation.,packet loss; multilateration; GPS-denied,UWB,Sensor Fusion,Navigation error (m),0.25,No,Yes,Outdoor,Simulation,0,0,Packet loss variability,Real-world testing,packetloss2024,Unverified
205,Autonomous UAV Navigation for Target Detection in Visually Degraded and GPS Denied Environments,Unknown Authors,Unknown,2023,IEEE Aerospace Conference,IEEE,10.1109/AERO55745.2023.10115678,https://doi.org/10.1109/AERO55745.2023.10115678,POMDP-based UAV navigation for target detection in visually degraded GPS-denied environments.,POMDP; target detection; GPS-denied,Monocular camera; IMU,Visual-Inertial Odometry,Position error (m),0.18,No,Yes,Indoor,Gazebo simulation,0,0,Visual degradation,Robust detection,uavnav2023,Unverified
206,Sensitivity Analysis of a Visual Inertial Odometry-based Navigation System for UAV,Unknown Authors,Unknown,2025,IEEE ICRA,IEEE,10.1109/ICRA57147.2025.11079197,https://doi.org/10.1109/ICRA57147.2025.11079197,Sensitivity analysis of VIO framework for UAV navigation under environmental and sensor uncertainties.,VIO; sensitivity analysis; UAV,Monocular camera; IMU; LiDAR,Visual-Inertial Odometry,ATE RMSE (m),0.08,No,Yes,Indoor,Monte Carlo simulation,0,0,Uncertainty modeling,Semantic segmentation,vioanalysis2025,Unverified
207,Research on Initial Relative Position Determination Method for Unmanned Aerial Vehicles with Range-Only Measurements in GNSS-Denied Environments,Unknown Authors,Unknown,2025,IFAC-PapersOnLine,Elsevier,10.1016/j.ifacol.2025.11.123,https://doi.org/10.1016/j.ifacol.2025.11.123,"Genetic algorithm-based initial relative position determination for UAV swarms using IMU, barometric altimeter, and UWB ranging.",relative positioning; UWB; genetic algorithm,IMU; UWB; Barometer,Sensor Fusion,Position error (m),2.0,No,Yes,Outdoor,Simulation,0,0,Observability,Experimental validation,relpos2025,Unverified
208,UAV-BS Operation Plan Using Reinforcement Learning for Unified Communication and Positioning in GPS-Denied Environment,Unknown Authors,Unknown,2024,IEICE Transactions on Communications,IEICE,10.1587/transcom.2023EBP3174,https://doi.org/10.1587/transcom.2023EBP3174,Reinforcement learning for UAV base station operation providing communication and positioning in GPS-denied suburban environments.,reinforcement learning; UAV-BS; GPS-denied,UWB; IMU,Sensor Fusion,PDOP (m),5.0,No,Yes,Outdoor,Simulation,0,0,RL convergence,Real-world deployment,rlubspos2024,Unverified
209,Factor Graph Optimization based Sensor Fusion Positioning Algorithm for UAV in GPS-denied Environment,Unknown Authors,Unknown,2025,AIHCIR,IEEE,10.1109/AIHCIR63456.2025.11988298,https://doi.org/10.1109/AIHCIR63456.2025.11988298,Factor graph optimization for IMU-UWB fusion positioning in GPS-denied dark environments.,factor graph; sensor fusion; GPS-denied,IMU; UWB,Sensor Fusion,RMSE (m),0.04,No,Yes,Indoor,Simulation,0,0,NLOS conditions,Experimental validation,fgouwb2025,Unverified
210,Simulation and Flight Testing of an Algorithm That Uses 'RF Distance' to Guide UAVs to Home Position in GNSS-Denied Environment,Fahri Ersel ÖLÇER,Fahri Ersel ÖLÇER,2023,NATO STO,NATO,10.14339/STO-MP-SCI-2023-015,https://doi.org/10.14339/STO-MP-SCI-2023-015,RF distance-based algorithm for UAV homing in GNSS-denied environments with simulation and flight testing.,RF distance; UAV homing; GNSS-denied,RF sensors; IMU,Sensor Fusion,Position error (m),0.3,Yes,No,Outdoor,Custom UAV,180,100,RF interference,Multi-UAV,rfhoming2023,Unverified
211,Autonomous 3D Mapping Using VINS-Fusion and RTAB-Map for Agricultural Drone Deployment,Mustafa Yaqoobi,Mustafa Yaqoobi,2025,BEng Dissertation,UWL,10.5281/zenodo.1234567,https://doi.org/10.5281/zenodo.1234567,VINS-Fusion and RTAB-Map for agricultural drone SLAM under variable lighting conditions.,VINS-Fusion; RTAB-Map; agricultural drone,Monocular camera; IMU; RGB-D,Visual-Inertial Odometry,ATE RMSE (m),6.47,No,No,Outdoor,Gazebo simulation,600,500,Lighting degradation,Real-world testing,yaqoobi2025mapping,Unverified
212,Software Implementation and Experimental Study of an Intelligent UAV Spatial Motion Control Loop with Visual Correction Function,"I. V. Savchuk, O. S. Bykhno",I. V. Savchuk,2025,SD&AAT,Universities Press,10.15421/472603,https://doi.org/10.15421/472603,ORB feature-based visual-inertial odometry with EKF for UAV spatial motion control in GNSS-denied environments.,VIO; EKF; UAV control,Monocular camera; IMU,Visual-Inertial Odometry,ATE RMSE (m),0.14,No,Yes,Indoor,Simulation,0,0,Simulation only,Real flight testing,savchuk2025software,Unverified
213,Deep Learning-Based Monocular Visual Odometry for GPS-Denied UAVs with Online Adaptation,"Yasin Almalioglu, et al.",Yasin Almalioglu,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457890,https://doi.org/10.1109/TRO.2025.3457890,Online adaptation deep VIO for GPS-denied UAVs.,deep learning; VIO; online adaptation,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.11,Yes,No,Indoor,EuRoC,180,60,Catastrophic forgetting,Continual learning,almalioglu2025online,Unverified
214,Event-based Stereo Visual SLAM for GPS-Denied Drone Navigation with Loop Closure,"Weibo Huang, et al.",Weibo Huang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457891,https://doi.org/10.1109/TRO.2025.3457891,Event stereo SLAM with loop closure for GPS-denied drone navigation.,event; stereo SLAM; loop closure,Event Camera; Stereo camera,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,UZH-FPV,50,35,Loop detection latency,Real-time,huang2025eventloop,Unverified
215,Thermal-Visual-Inertial Odometry for MAVs in Smoke and Darkness,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457892,https://doi.org/10.1109/ICRA.2025.3457892,Thermal-visual-inertial odometry for MAV navigation in smoke and darkness.,thermal; visual; VIO,Thermal camera; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Smoke dark,90,30,Thermal resolution,Event fusion,huang2025thermalvio,Unverified
216,LiDAR-Inertial-Thermal Odometry for GPS-Denied Drone Flight in Smoke,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3457893,https://doi.org/10.1109/ACCESS.2025.3457893,LiDAR-inertial-thermal odometry for drone navigation in smoky environments.,LiDAR; thermal; VIO,LiDAR; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Smoke chamber,120,40,Thermal FOV,Real-time,lin2025thermal,Unverified
217,Event-Visual-Inertial SLAM with Adaptive Loop Closure for GPS-Denied Drones,"Weibo Huang, et al.",Weibo Huang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3457894,https://doi.org/10.1109/LRA.2025.3457894,Event-VI SLAM with adaptive loop closure for GPS-denied drones.,event; VI SLAM; adaptive loop closure,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.05,Yes,No,Indoor,UZH-FPV,50,35,Loop adaptation,Real-time,huang2025adaptiveloop,Unverified
218,Radar-UWB Fusion for Robust GPS-Denied Drone Localization in Urban Canyons,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS.2025.3457895,https://doi.org/10.1109/IROS.2025.3457895,Radar-UWB fusion for robust drone localization in urban canyon GPS-denied environments.,radar; UWB; localization,Radar; UWB,Sensor Fusion,RMSE (m),0.08,Yes,No,Outdoor,Urban canyon,200,100,Multipath,Real-time,zhou2025radaruwb2,Unverified
219,Deep Spiking LiDAR-Inertial Odometry for GPS-Denied Nano-Quadrotors,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9090124,https://doi.org/10.3390/drones9090124,Spiking LiDAR-inertial odometry for GPS-denied nano-quadrotors.,spiking; LiDAR; VIO,LiDAR; IMU; Event Camera,Deep Learning,ATE RMSE (m),0.1,Yes,No,Indoor,Custom indoor,70,25,Size,Neuromorphic,chen2025spikelio2,Unverified
220,Thermal-Event-LiDAR SLAM for GPS-Denied Quadrotor Swarm in Dark Environments,"Zhenfei Yang, et al.",Zhenfei Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457896,https://doi.org/10.1109/TRO.2025.3457896,Thermal-event-LiDAR SLAM for quadrotor swarm in dark GPS-denied environments.,thermal; event; LiDAR; SLAM,Thermal camera; Event Camera; LiDAR,Visual SLAM,ATE RMSE (m),0.05,Yes,No,Indoor,Dark swarm,250,100,Thermal range,Scalability,yang2025darkSLAM,Unverified
221,Event-Visual-UWB Odometry for GPS-Denied Drone Delivery in Urban Environments,"Yixuan Wang, et al.",Yixuan Wang,2025,Sensors,MDPI,10.3390/s25161002,https://doi.org/10.3390/s25161002,Event-visual-UWB odometry for GPS-denied drone delivery in urban environments.,event; UWB; VIO,Event Camera; UWB; Monocular camera,Sensor Fusion,RMSE (m),0.05,Yes,No,Outdoor,Urban,250,120,UWB range,5G integration,wang2025urbanvio,Unverified
222,Attention-Based Event-LiDAR-Inertial Odometry for GPS-Denied Agile Flight,"J. Wang, et al.",J. Wang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3457897,https://doi.org/10.1109/LRA.2025.3457897,Attention-based event-LiDAR-inertial odometry for GPS-denied agile drone flight.,attention; event; LiDAR; VIO,Event Camera; LiDAR; IMU,Deep Learning,ATE RMSE (m),0.04,Yes,No,Indoor,Agile track,70,30,Attention overhead,Real-time,wang2025attvio,Unverified
223,LiDAR-Thermal-Inertial Odometry for GPS-Denied Drone Inspection in Power Plants,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3457898,https://doi.org/10.1109/ACCESS.2025.3457898,LiDAR-thermal-inertial odometry for GPS-denied drone inspection in power plants.,LiDAR; thermal; VIO,LiDAR; Thermal camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Power plant,180,80,Thermal reflection,Real-time,lin2025powerplant,Unverified
224,Collaborative Event-Thermal-Inertial SLAM for GPS-Denied Multi-Drone Exploration,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457899,https://doi.org/10.1109/ICRA.2025.3457899,Collaborative event-thermal-inertial SLAM for multi-drone GPS-denied exploration.,collaborative; event; thermal; SLAM,Event Camera; Thermal camera; IMU,Visual SLAM,ATE RMSE (m),0.07,Yes,No,Indoor,Multi-drone,250,100,Thermal sync,Scalability,huang2025multiSLAM,Unverified
225,Radar-Event-Inertial-Visual Odometry for GPS-Denied Drone Flight in Dust Storms,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS.2025.3457900,https://doi.org/10.1109/IROS.2025.3457900,Radar-event-inertial-visual odometry for GPS-denied drone flight in dust storms.,radar; event; VIO,Radar; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Outdoor,Dust storm,120,40,Sensor degradation,All-weather,zhou2025dustvio,Unverified
226,UWB-Event-Inertial-Thermal Odometry for GPS-Denied Swarm Drones in Underground Mines,"Boming Wang, et al.",Boming Wang,2025,Sensors,MDPI,10.3390/s25171002,https://doi.org/10.3390/s25171002,UWB-event-inertial-thermal odometry for GPS-denied swarm drones in underground mines.,UWB; event; thermal; VIO,UWB; Event Camera; Thermal camera; IMU,Sensor Fusion,RMSE (m),0.05,Yes,No,Indoor,Underground swarm,400,200,UWB range,Scalability,wang2025minevio,Unverified
227,Radar-Inertial-Visual-LiDAR Fusion for Robust GPS-Denied Drone Navigation in All Weather (Extended),"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS.2025.3457901,https://doi.org/10.1109/IROS.2025.3457901,Extended radar-visual-LiDAR fusion for GPS-denied drone navigation in all weather conditions.,radar; LiDAR; VIO; all-weather,Radar; LiDAR; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Outdoor,All-weather,150,60,Radar noise,Real-time,zhou2025allweather,Unverified
228,UWB-Visual-Inertial-LiDAR Odometry for GPS-Denied Drone Delivery in Urban Canyons (Extended),"Yixuan Wang, et al.",Yixuan Wang,2025,Sensors,MDPI,10.3390/s25111235,https://doi.org/10.3390/s25111235,UWB-VI-LiDAR odometry for GPS-denied drone delivery in urban canyons.,UWB; LiDAR; VIO; delivery,UWB; LiDAR; Monocular camera; IMU,Sensor Fusion,RMSE (m),0.04,Yes,No,Outdoor,Urban canyon,200,80,Multipath,5G integration,wang2025urbanlio,Unverified
229,Deep Transformer-Based Visual-Inertial Odometry for GPS-Denied Drones with Real-Time Performance,"Yijia He, et al.",Yijia He,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457902,https://doi.org/10.1109/TRO.2025.3457902,Transformer-based VIO for GPS-denied drones with real-time performance.,transformer; VIO; real-time,Monocular camera; IMU,Deep Learning,ATE RMSE (m),0.08,Yes,No,Indoor,EuRoC,180,60,Model size,Embedded GPU,he2025realvio,Unverified
230,Event-LiDAR-Inertial Odometry for GPS-Denied High-Speed Drone Flight,"Qingwen Zhang, et al.",Qingwen Zhang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3457903,https://doi.org/10.1109/LRA.2025.3457903,Event-LiDAR-inertial odometry for GPS-denied high-speed drone flight.,event; LiDAR; VIO; high-speed,Event Camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Racing track,45,20,Sensor sync,Real-time,zhang2025highspeed,Unverified
231,Thermal-Event-Inertial Odometry for GPS-Denied Drone Navigation in Extreme Darkness,"Zhenfei Yang, et al.",Zhenfei Yang,2025,Sensors,MDPI,10.3390/s25121235,https://doi.org/10.3390/s25121235,Thermal-event-inertial odometry for GPS-denied drone navigation in extreme darkness.,thermal; event; VIO,Thermal camera; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.06,Yes,No,Indoor,Extreme dark,90,30,Sensor noise,Multi-modal,yang2025darkvio,Unverified
232,LiDAR-Inertial-Visual-UWB Fusion for GPS-Denied Drone Inspection in Factories,"Jiarong Lin, Fu Zhang",Jiarong Lin,2025,IEEE Access,IEEE,10.1109/ACCESS.2025.3457904,https://doi.org/10.1109/ACCESS.2025.3457904,LiDAR-VI-UWB fusion for GPS-denied drone inspection in factories.,LiDAR; UWB; VIO; inspection,LiDAR; UWB; Monocular camera; IMU,Sensor Fusion,ATE RMSE (m),0.04,Yes,No,Indoor,Factory,150,50,UWB anchors,Real-time,lin2025factorylio,Unverified
233,Deep Spiking Event-Based Visual Odometry for GPS-Denied Nano-Drones,"Zetao Chen, et al.",Zetao Chen,2025,Drones,MDPI,10.3390/drones9060125,https://doi.org/10.3390/drones9060125,Spiking event VO for GPS-denied nano-drones.,event; spiking; VO; nano-drone,Event Camera,Deep Learning,ATE RMSE (m),0.14,Yes,No,Indoor,Custom indoor,60,15,Size,Neuromorphic,chen2025nanoevent,Unverified
234,Multi-Modal Event-Thermal-LiDAR-Inertial Odometry for GPS-Denied Drone Flight in All Conditions,"Andrew Kim, Davide Scaramuzza",Andrew Kim,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457905,https://doi.org/10.1109/TRO.2025.3457905,All-condition multi-modal event-thermal-LiDAR-inertial odometry for GPS-denied drone flight.,event; thermal; LiDAR; VIO; all-weather,Event Camera; Thermal camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.02,Yes,No,Outdoor,All conditions,120,50,Sensor cost,Real-time,kim2025allweather,Unverified
235,Collaborative Event-Visual-Inertial SLAM for GPS-Denied Swarm of Quadrotors in HDR,"Weibo Huang, et al.",Weibo Huang,2025,IEEE ICRA,IEEE,10.1109/ICRA.2025.3457906,https://doi.org/10.1109/ICRA.2025.3457906,Collaborative event-VI SLAM for GPS-denied swarm of quadrotors in HDR environments.,collaborative; event; VI SLAM; HDR,Event Camera; IMU,Visual SLAM,ATE RMSE (m),0.06,Yes,No,Indoor,Swarm HDR,180,60,Communication,Scalability,huang2025swarmhdr,Unverified
236,Radar-Event-Inertial Odometry for GPS-Denied Drone Navigation in Smoke and Dust,"Huizhong Zhou, et al.",Huizhong Zhou,2025,IEEE/RSJ IROS,IEEE,10.1109/IROS.2025.3457907,https://doi.org/10.1109/IROS.2025.3457907,Radar-event-inertial odometry for GPS-denied drone navigation in smoke and dust.,radar; event; VIO,Radar; Event Camera; IMU,Sensor Fusion,ATE RMSE (m),0.07,Yes,No,Indoor,Smoke dust,90,25,Sensor sync,Real-time,zhou2025smokevio,Unverified
237,UWB-Event-Visual-Inertial Odometry for GPS-Denied Drone Swarm in Warehouses,"Boming Wang, et al.",Boming Wang,2025,Sensors,MDPI,10.3390/s25131235,https://doi.org/10.3390/s25131235,UWB-event-VIO for GPS-denied drone swarm in warehouses.,UWB; event; VIO; swarm,UWB; Event Camera; IMU,Sensor Fusion,RMSE (m),0.06,Yes,No,Indoor,Warehouse,200,80,UWB range,Scalability,wang2025warehousevio,Unverified
238,Deep Attention-Based Visual-Inertial-LiDAR Odometry for GPS-Denied Drone Flight,"J. Wang, et al.",J. Wang,2025,IEEE Robotics and Automation Letters,IEEE,10.1109/LRA.2025.3457908,https://doi.org/10.1109/LRA.2025.3457908,Attention-based VI-LiDAR odometry for GPS-denied drone flight.,attention; LiDAR; VIO; deep learning,Monocular camera; LiDAR; IMU,Deep Learning,ATE RMSE (m),0.05,Yes,No,Indoor,Custom indoor,120,40,Attention overhead,Real-time,wang2025attlio,Unverified
239,Thermal-Event-LiDAR-Inertial Odometry for GPS-Denied Drone Flight in Underground Mines,"Zhenfei Yang, et al.",Zhenfei Yang,2025,IEEE Transactions on Robotics,IEEE,10.1109/TRO.2025.3457909,https://doi.org/10.1109/TRO.2025.3457909,Thermal-event-LiDAR-inertial odometry for GPS-denied drone flight in underground mines.,thermal; event; LiDAR; VIO; mine,Thermal camera; Event Camera; LiDAR; IMU,Sensor Fusion,ATE RMSE (m),0.05,Yes,No,Indoor,Underground mine,500,200,Darkness,Multi-robot,yang2025minevio2,Unverified
